year,ca,sex,age,count,ca_name,hb_name
1981,S92000003,All,all_ages,5180200,Scotland,Scotland
1981,S92000003,Female,all_ages,2685340,Scotland,Scotland
1981,S92000003,Male,all_ages,2494860,Scotland,Scotland
1981,S12000005,All,all_ages,48218,Clackmannanshire,NHS Forth Valley
1981,S12000005,Female,all_ages,24764,Clackmannanshire,NHS Forth Valley
1981,S12000005,Male,all_ages,23454,Clackmannanshire,NHS Forth Valley
1981,S12000006,All,all_ages,145502,Dumfries and Galloway,NHS Dumfries and Galloway
1981,S12000006,Female,all_ages,75128,Dumfries and Galloway,NHS Dumfries and Galloway
1981,S12000006,Male,all_ages,70374,Dumfries and Galloway,NHS Dumfries and Galloway
1981,S12000008,All,all_ages,127363,East Ayrshire,NHS Ayrshire and Arran
1981,S12000008,Female,all_ages,65809,East Ayrshire,NHS Ayrshire and Arran
1981,S12000008,Male,all_ages,61554,East Ayrshire,NHS Ayrshire and Arran
1981,S12000010,All,all_ages,80715,East Lothian,NHS Lothian
1981,S12000010,Female,all_ages,41651,East Lothian,NHS Lothian
1981,S12000010,Male,all_ages,39064,East Lothian,NHS Lothian
1981,S12000011,All,all_ages,80244,East Renfrewshire,NHS Greater Glasgow and Clyde
1981,S12000011,All,all_ages,80244,East Renfrewshire,NHS Greater Glasgow and Clyde
1981,S12000011,Female,all_ages,41969,East Renfrewshire,NHS Greater Glasgow and Clyde
1981,S12000011,Female,all_ages,41969,East Renfrewshire,NHS Greater Glasgow and Clyde
1981,S12000011,Male,all_ages,38275,East Renfrewshire,NHS Greater Glasgow and Clyde
1981,S12000011,Male,all_ages,38275,East Renfrewshire,NHS Greater Glasgow and Clyde
1981,S12000013,All,all_ages,31548,Na h-Eileanan Siar,NHS Western Isles
1981,S12000013,Female,all_ages,15804,Na h-Eileanan Siar,NHS Western Isles
1981,S12000013,Male,all_ages,15744,Na h-Eileanan Siar,NHS Western Isles
1981,S12000014,All,all_ages,145146,Falkirk,NHS Forth Valley
1981,S12000014,Female,all_ages,74518,Falkirk,NHS Forth Valley
1981,S12000014,Male,all_ages,70628,Falkirk,NHS Forth Valley
1981,S12000017,All,all_ages,194903,Highland,NHS Highland
1981,S12000017,Female,all_ages,99460,Highland,NHS Highland
1981,S12000017,Male,all_ages,95443,Highland,NHS Highland
1981,S12000018,All,all_ages,101182,Inverclyde,NHS Greater Glasgow and Clyde
1981,S12000018,All,all_ages,101182,Inverclyde,NHS Greater Glasgow and Clyde
1981,S12000018,Female,all_ages,52492,Inverclyde,NHS Greater Glasgow and Clyde
1981,S12000018,Female,all_ages,52492,Inverclyde,NHS Greater Glasgow and Clyde
1981,S12000018,Male,all_ages,48690,Inverclyde,NHS Greater Glasgow and Clyde
1981,S12000018,Male,all_ages,48690,Inverclyde,NHS Greater Glasgow and Clyde
1981,S12000019,All,all_ages,83577,Midlothian,NHS Lothian
1981,S12000019,Female,all_ages,42640,Midlothian,NHS Lothian
1981,S12000019,Male,all_ages,40937,Midlothian,NHS Lothian
1981,S12000020,All,all_ages,83482,Moray,NHS Grampian
1981,S12000020,Female,all_ages,42232,Moray,NHS Grampian
1981,S12000020,Male,all_ages,41250,Moray,NHS Grampian
1981,S12000021,All,all_ages,137304,North Ayrshire,NHS Ayrshire and Arran
1981,S12000021,Female,all_ages,71368,North Ayrshire,NHS Ayrshire and Arran
1981,S12000021,Male,all_ages,65936,North Ayrshire,NHS Ayrshire and Arran
1981,S12000023,All,all_ages,19182,Orkney Islands,NHS Orkney
1981,S12000023,Female,all_ages,9701,Orkney Islands,NHS Orkney
1981,S12000023,Male,all_ages,9481,Orkney Islands,NHS Orkney
1981,S12000026,All,all_ages,101256,Scottish Borders,NHS Borders
1981,S12000026,Female,all_ages,53045,Scottish Borders,NHS Borders
1981,S12000026,Male,all_ages,48211,Scottish Borders,NHS Borders
1981,S12000027,All,all_ages,26347,Shetland Islands,NHS Shetland
1981,S12000027,Female,all_ages,11882,Shetland Islands,NHS Shetland
1981,S12000027,Male,all_ages,14465,Shetland Islands,NHS Shetland
1981,S12000028,All,all_ages,113187,South Ayrshire,NHS Ayrshire and Arran
1981,S12000028,Female,all_ages,59597,South Ayrshire,NHS Ayrshire and Arran
1981,S12000028,Male,all_ages,53590,South Ayrshire,NHS Ayrshire and Arran
1981,S12000029,All,all_ages,309958,South Lanarkshire,NHS Lanarkshire
1981,S12000029,All,all_ages,309958,South Lanarkshire,NHS Lanarkshire
1981,S12000029,Female,all_ages,160092,South Lanarkshire,NHS Lanarkshire
1981,S12000029,Female,all_ages,160092,South Lanarkshire,NHS Lanarkshire
1981,S12000029,Male,all_ages,149866,South Lanarkshire,NHS Lanarkshire
1981,S12000029,Male,all_ages,149866,South Lanarkshire,NHS Lanarkshire
1981,S12000030,All,all_ages,80261,Stirling,NHS Forth Valley
1981,S12000030,Female,all_ages,41608,Stirling,NHS Forth Valley
1981,S12000030,Male,all_ages,38653,Stirling,NHS Forth Valley
1981,S12000033,All,all_ages,212494,Aberdeen City,NHS Grampian
1981,S12000033,Female,all_ages,110989,Aberdeen City,NHS Grampian
1981,S12000033,Male,all_ages,101505,Aberdeen City,NHS Grampian
1981,S12000034,All,all_ages,188923,Aberdeenshire,NHS Grampian
1981,S12000034,Female,all_ages,95151,Aberdeenshire,NHS Grampian
1981,S12000034,Male,all_ages,93772,Aberdeenshire,NHS Grampian
1981,S12000035,All,all_ages,90948,Argyll and Bute,NHS Highland
1981,S12000035,Female,all_ages,46493,Argyll and Bute,NHS Highland
1981,S12000035,Male,all_ages,44455,Argyll and Bute,NHS Highland
1981,S12000036,All,all_ages,445985,City of Edinburgh,NHS Lothian
1981,S12000036,Female,all_ages,236150,City of Edinburgh,NHS Lothian
1981,S12000036,Male,all_ages,209835,City of Edinburgh,NHS Lothian
1981,S12000038,All,all_ages,185083,Renfrewshire,NHS Greater Glasgow and Clyde
1981,S12000038,All,all_ages,185083,Renfrewshire,NHS Greater Glasgow and Clyde
1981,S12000038,Female,all_ages,96009,Renfrewshire,NHS Greater Glasgow and Clyde
1981,S12000038,Female,all_ages,96009,Renfrewshire,NHS Greater Glasgow and Clyde
1981,S12000038,Male,all_ages,89074,Renfrewshire,NHS Greater Glasgow and Clyde
1981,S12000038,Male,all_ages,89074,Renfrewshire,NHS Greater Glasgow and Clyde
1981,S12000039,All,all_ages,105801,West Dunbartonshire,NHS Greater Glasgow and Clyde
1981,S12000039,All,all_ages,105801,West Dunbartonshire,NHS Greater Glasgow and Clyde
1981,S12000039,Female,all_ages,55210,West Dunbartonshire,NHS Greater Glasgow and Clyde
1981,S12000039,Female,all_ages,55210,West Dunbartonshire,NHS Greater Glasgow and Clyde
1981,S12000039,Male,all_ages,50591,West Dunbartonshire,NHS Greater Glasgow and Clyde
1981,S12000039,Male,all_ages,50591,West Dunbartonshire,NHS Greater Glasgow and Clyde
1981,S12000040,All,all_ages,139204,West Lothian,NHS Lothian
1981,S12000040,Female,all_ages,70800,West Lothian,NHS Lothian
1981,S12000040,Male,all_ages,68404,West Lothian,NHS Lothian
1981,S12000041,All,all_ages,105615,Angus,NHS Tayside
1981,S12000041,All,all_ages,105615,Angus,NHS Tayside
1981,S12000041,Female,all_ages,54856,Angus,NHS Tayside
1981,S12000041,Female,all_ages,54856,Angus,NHS Tayside
1981,S12000041,Male,all_ages,50759,Angus,NHS Tayside
1981,S12000041,Male,all_ages,50759,Angus,NHS Tayside
1981,S12000042,All,all_ages,169581,Dundee City,NHS Tayside
1981,S12000042,All,all_ages,169581,Dundee City,NHS Tayside
1981,S12000042,Female,all_ages,89397,Dundee City,NHS Tayside
1981,S12000042,Female,all_ages,89397,Dundee City,NHS Tayside
1981,S12000042,Male,all_ages,80184,Dundee City,NHS Tayside
1981,S12000042,Male,all_ages,80184,Dundee City,NHS Tayside
1981,S12000045,All,all_ages,109684,East Dunbartonshire,NHS Greater Glasgow and Clyde
1981,S12000045,All,all_ages,109684,East Dunbartonshire,NHS Greater Glasgow and Clyde
1981,S12000045,Female,all_ages,56459,East Dunbartonshire,NHS Greater Glasgow and Clyde
1981,S12000045,Female,all_ages,56459,East Dunbartonshire,NHS Greater Glasgow and Clyde
1981,S12000045,Male,all_ages,53225,East Dunbartonshire,NHS Greater Glasgow and Clyde
1981,S12000045,Male,all_ages,53225,East Dunbartonshire,NHS Greater Glasgow and Clyde
1981,S12000047,All,all_ages,341589,Fife,NHS Fife
1981,S12000047,Female,all_ages,176158,Fife,NHS Fife
1981,S12000047,Male,all_ages,165431,Fife,NHS Fife
1981,S12000048,All,all_ages,121859,Perth and Kinross,NHS Tayside
1981,S12000048,Female,all_ages,63877,Perth and Kinross,NHS Tayside
1981,S12000048,Male,all_ages,57982,Perth and Kinross,NHS Tayside
1981,S12000049,All,all_ages,712368,Glasgow City,NHS Greater Glasgow and Clyde
1981,S12000049,Female,all_ages,374128,Glasgow City,NHS Greater Glasgow and Clyde
1981,S12000049,Male,all_ages,338240,Glasgow City,NHS Greater Glasgow and Clyde
1981,S12000050,All,all_ages,341691,North Lanarkshire,NHS Lanarkshire
1981,S12000050,Female,all_ages,175903,North Lanarkshire,NHS Lanarkshire
1981,S12000050,Male,all_ages,165788,North Lanarkshire,NHS Lanarkshire
1982,S92000003,All,all_ages,5164540,Scotland,Scotland
1982,S92000003,Female,all_ages,2677205,Scotland,Scotland
1982,S92000003,Male,all_ages,2487335,Scotland,Scotland
1982,S12000005,All,all_ages,48000,Clackmannanshire,NHS Forth Valley
1982,S12000005,Female,all_ages,24610,Clackmannanshire,NHS Forth Valley
1982,S12000005,Male,all_ages,23390,Clackmannanshire,NHS Forth Valley
1982,S12000006,All,all_ages,145350,Dumfries and Galloway,NHS Dumfries and Galloway
1982,S12000006,Female,all_ages,75003,Dumfries and Galloway,NHS Dumfries and Galloway
1982,S12000006,Male,all_ages,70347,Dumfries and Galloway,NHS Dumfries and Galloway
1982,S12000008,All,all_ages,126520,East Ayrshire,NHS Ayrshire and Arran
1982,S12000008,Female,all_ages,65389,East Ayrshire,NHS Ayrshire and Arran
1982,S12000008,Male,all_ages,61131,East Ayrshire,NHS Ayrshire and Arran
1982,S12000010,All,all_ages,80990,East Lothian,NHS Lothian
1982,S12000010,Female,all_ages,41742,East Lothian,NHS Lothian
1982,S12000010,Male,all_ages,39248,East Lothian,NHS Lothian
1982,S12000011,All,all_ages,80460,East Renfrewshire,NHS Greater Glasgow and Clyde
1982,S12000011,All,all_ages,80460,East Renfrewshire,NHS Greater Glasgow and Clyde
1982,S12000011,Female,all_ages,42023,East Renfrewshire,NHS Greater Glasgow and Clyde
1982,S12000011,Female,all_ages,42023,East Renfrewshire,NHS Greater Glasgow and Clyde
1982,S12000011,Male,all_ages,38437,East Renfrewshire,NHS Greater Glasgow and Clyde
1982,S12000011,Male,all_ages,38437,East Renfrewshire,NHS Greater Glasgow and Clyde
1982,S12000013,All,all_ages,31490,Na h-Eileanan Siar,NHS Western Isles
1982,S12000013,Female,all_ages,15785,Na h-Eileanan Siar,NHS Western Isles
1982,S12000013,Male,all_ages,15705,Na h-Eileanan Siar,NHS Western Isles
1982,S12000014,All,all_ages,144580,Falkirk,NHS Forth Valley
1982,S12000014,Female,all_ages,74267,Falkirk,NHS Forth Valley
1982,S12000014,Male,all_ages,70313,Falkirk,NHS Forth Valley
1982,S12000017,All,all_ages,194970,Highland,NHS Highland
1982,S12000017,Female,all_ages,99406,Highland,NHS Highland
1982,S12000017,Male,all_ages,95564,Highland,NHS Highland
1982,S12000018,All,all_ages,100490,Inverclyde,NHS Greater Glasgow and Clyde
1982,S12000018,All,all_ages,100490,Inverclyde,NHS Greater Glasgow and Clyde
1982,S12000018,Female,all_ages,52107,Inverclyde,NHS Greater Glasgow and Clyde
1982,S12000018,Female,all_ages,52107,Inverclyde,NHS Greater Glasgow and Clyde
1982,S12000018,Male,all_ages,48383,Inverclyde,NHS Greater Glasgow and Clyde
1982,S12000018,Male,all_ages,48383,Inverclyde,NHS Greater Glasgow and Clyde
1982,S12000019,All,all_ages,83100,Midlothian,NHS Lothian
1982,S12000019,Female,all_ages,42554,Midlothian,NHS Lothian
1982,S12000019,Male,all_ages,40546,Midlothian,NHS Lothian
1982,S12000020,All,all_ages,84430,Moray,NHS Grampian
1982,S12000020,Female,all_ages,42625,Moray,NHS Grampian
1982,S12000020,Male,all_ages,41805,Moray,NHS Grampian
1982,S12000021,All,all_ages,137190,North Ayrshire,NHS Ayrshire and Arran
1982,S12000021,Female,all_ages,71285,North Ayrshire,NHS Ayrshire and Arran
1982,S12000021,Male,all_ages,65905,North Ayrshire,NHS Ayrshire and Arran
1982,S12000023,All,all_ages,19100,Orkney Islands,NHS Orkney
1982,S12000023,Female,all_ages,9705,Orkney Islands,NHS Orkney
1982,S12000023,Male,all_ages,9395,Orkney Islands,NHS Orkney
1982,S12000026,All,all_ages,101080,Scottish Borders,NHS Borders
1982,S12000026,Female,all_ages,52900,Scottish Borders,NHS Borders
1982,S12000026,Male,all_ages,48180,Scottish Borders,NHS Borders
1982,S12000027,All,all_ages,24100,Shetland Islands,NHS Shetland
1982,S12000027,Female,all_ages,11686,Shetland Islands,NHS Shetland
1982,S12000027,Male,all_ages,12414,Shetland Islands,NHS Shetland
1982,S12000028,All,all_ages,113140,South Ayrshire,NHS Ayrshire and Arran
1982,S12000028,Female,all_ages,59473,South Ayrshire,NHS Ayrshire and Arran
1982,S12000028,Male,all_ages,53667,South Ayrshire,NHS Ayrshire and Arran
1982,S12000029,All,all_ages,308640,South Lanarkshire,NHS Lanarkshire
1982,S12000029,All,all_ages,308640,South Lanarkshire,NHS Lanarkshire
1982,S12000029,Female,all_ages,159453,South Lanarkshire,NHS Lanarkshire
1982,S12000029,Female,all_ages,159453,South Lanarkshire,NHS Lanarkshire
1982,S12000029,Male,all_ages,149187,South Lanarkshire,NHS Lanarkshire
1982,S12000029,Male,all_ages,149187,South Lanarkshire,NHS Lanarkshire
1982,S12000030,All,all_ages,80690,Stirling,NHS Forth Valley
1982,S12000030,Female,all_ages,41741,Stirling,NHS Forth Valley
1982,S12000030,Male,all_ages,38949,Stirling,NHS Forth Valley
1982,S12000033,All,all_ages,213260,Aberdeen City,NHS Grampian
1982,S12000033,Female,all_ages,111233,Aberdeen City,NHS Grampian
1982,S12000033,Male,all_ages,102027,Aberdeen City,NHS Grampian
1982,S12000034,All,all_ages,192540,Aberdeenshire,NHS Grampian
1982,S12000034,Female,all_ages,97217,Aberdeenshire,NHS Grampian
1982,S12000034,Male,all_ages,95323,Aberdeenshire,NHS Grampian
1982,S12000035,All,all_ages,90950,Argyll and Bute,NHS Highland
1982,S12000035,Female,all_ages,46389,Argyll and Bute,NHS Highland
1982,S12000035,Male,all_ages,44561,Argyll and Bute,NHS Highland
1982,S12000036,All,all_ages,444490,City of Edinburgh,NHS Lothian
1982,S12000036,Female,all_ages,235651,City of Edinburgh,NHS Lothian
1982,S12000036,Male,all_ages,208839,City of Edinburgh,NHS Lothian
1982,S12000038,All,all_ages,184020,Renfrewshire,NHS Greater Glasgow and Clyde
1982,S12000038,All,all_ages,184020,Renfrewshire,NHS Greater Glasgow and Clyde
1982,S12000038,Female,all_ages,95442,Renfrewshire,NHS Greater Glasgow and Clyde
1982,S12000038,Female,all_ages,95442,Renfrewshire,NHS Greater Glasgow and Clyde
1982,S12000038,Male,all_ages,88578,Renfrewshire,NHS Greater Glasgow and Clyde
1982,S12000038,Male,all_ages,88578,Renfrewshire,NHS Greater Glasgow and Clyde
1982,S12000039,All,all_ages,104620,West Dunbartonshire,NHS Greater Glasgow and Clyde
1982,S12000039,All,all_ages,104620,West Dunbartonshire,NHS Greater Glasgow and Clyde
1982,S12000039,Female,all_ages,54656,West Dunbartonshire,NHS Greater Glasgow and Clyde
1982,S12000039,Female,all_ages,54656,West Dunbartonshire,NHS Greater Glasgow and Clyde
1982,S12000039,Male,all_ages,49964,West Dunbartonshire,NHS Greater Glasgow and Clyde
1982,S12000039,Male,all_ages,49964,West Dunbartonshire,NHS Greater Glasgow and Clyde
1982,S12000040,All,all_ages,139880,West Lothian,NHS Lothian
1982,S12000040,Female,all_ages,71140,West Lothian,NHS Lothian
1982,S12000040,Male,all_ages,68740,West Lothian,NHS Lothian
1982,S12000041,All,all_ages,105270,Angus,NHS Tayside
1982,S12000041,All,all_ages,105270,Angus,NHS Tayside
1982,S12000041,Female,all_ages,54571,Angus,NHS Tayside
1982,S12000041,Female,all_ages,54571,Angus,NHS Tayside
1982,S12000041,Male,all_ages,50699,Angus,NHS Tayside
1982,S12000041,Male,all_ages,50699,Angus,NHS Tayside
1982,S12000042,All,all_ages,168200,Dundee City,NHS Tayside
1982,S12000042,All,all_ages,168200,Dundee City,NHS Tayside
1982,S12000042,Female,all_ages,88537,Dundee City,NHS Tayside
1982,S12000042,Female,all_ages,88537,Dundee City,NHS Tayside
1982,S12000042,Male,all_ages,79663,Dundee City,NHS Tayside
1982,S12000042,Male,all_ages,79663,Dundee City,NHS Tayside
1982,S12000045,All,all_ages,110180,East Dunbartonshire,NHS Greater Glasgow and Clyde
1982,S12000045,All,all_ages,110180,East Dunbartonshire,NHS Greater Glasgow and Clyde
1982,S12000045,Female,all_ages,56642,East Dunbartonshire,NHS Greater Glasgow and Clyde
1982,S12000045,Female,all_ages,56642,East Dunbartonshire,NHS Greater Glasgow and Clyde
1982,S12000045,Male,all_ages,53538,East Dunbartonshire,NHS Greater Glasgow and Clyde
1982,S12000045,Male,all_ages,53538,East Dunbartonshire,NHS Greater Glasgow and Clyde
1982,S12000047,All,all_ages,342300,Fife,NHS Fife
1982,S12000047,Female,all_ages,176271,Fife,NHS Fife
1982,S12000047,Male,all_ages,166029,Fife,NHS Fife
1982,S12000048,All,all_ages,122210,Perth and Kinross,NHS Tayside
1982,S12000048,Female,all_ages,63933,Perth and Kinross,NHS Tayside
1982,S12000048,Male,all_ages,58277,Perth and Kinross,NHS Tayside
1982,S12000049,All,all_ages,702150,Glasgow City,NHS Greater Glasgow and Clyde
1982,S12000049,Female,all_ages,368634,Glasgow City,NHS Greater Glasgow and Clyde
1982,S12000049,Male,all_ages,333516,Glasgow City,NHS Greater Glasgow and Clyde
1982,S12000050,All,all_ages,340150,North Lanarkshire,NHS Lanarkshire
1982,S12000050,Female,all_ages,175135,North Lanarkshire,NHS Lanarkshire
1982,S12000050,Male,all_ages,165015,North Lanarkshire,NHS Lanarkshire
1983,S92000003,All,all_ages,5148120,Scotland,Scotland
1983,S92000003,Female,all_ages,2669045,Scotland,Scotland
1983,S92000003,Male,all_ages,2479075,Scotland,Scotland
1983,S12000005,All,all_ages,47950,Clackmannanshire,NHS Forth Valley
1983,S12000005,Female,all_ages,24550,Clackmannanshire,NHS Forth Valley
1983,S12000005,Male,all_ages,23400,Clackmannanshire,NHS Forth Valley
1983,S12000006,All,all_ages,145310,Dumfries and Galloway,NHS Dumfries and Galloway
1983,S12000006,Female,all_ages,74934,Dumfries and Galloway,NHS Dumfries and Galloway
1983,S12000006,Male,all_ages,70376,Dumfries and Galloway,NHS Dumfries and Galloway
1983,S12000008,All,all_ages,125740,East Ayrshire,NHS Ayrshire and Arran
1983,S12000008,Female,all_ages,65013,East Ayrshire,NHS Ayrshire and Arran
1983,S12000008,Male,all_ages,60727,East Ayrshire,NHS Ayrshire and Arran
1983,S12000010,All,all_ages,80820,East Lothian,NHS Lothian
1983,S12000010,Female,all_ages,41738,East Lothian,NHS Lothian
1983,S12000010,Male,all_ages,39082,East Lothian,NHS Lothian
1983,S12000011,All,all_ages,80470,East Renfrewshire,NHS Greater Glasgow and Clyde
1983,S12000011,All,all_ages,80470,East Renfrewshire,NHS Greater Glasgow and Clyde
1983,S12000011,Female,all_ages,42041,East Renfrewshire,NHS Greater Glasgow and Clyde
1983,S12000011,Female,all_ages,42041,East Renfrewshire,NHS Greater Glasgow and Clyde
1983,S12000011,Male,all_ages,38429,East Renfrewshire,NHS Greater Glasgow and Clyde
1983,S12000011,Male,all_ages,38429,East Renfrewshire,NHS Greater Glasgow and Clyde
1983,S12000013,All,all_ages,31380,Na h-Eileanan Siar,NHS Western Isles
1983,S12000013,Female,all_ages,15716,Na h-Eileanan Siar,NHS Western Isles
1983,S12000013,Male,all_ages,15664,Na h-Eileanan Siar,NHS Western Isles
1983,S12000014,All,all_ages,143970,Falkirk,NHS Forth Valley
1983,S12000014,Female,all_ages,73964,Falkirk,NHS Forth Valley
1983,S12000014,Male,all_ages,70006,Falkirk,NHS Forth Valley
1983,S12000017,All,all_ages,195650,Highland,NHS Highland
1983,S12000017,Female,all_ages,99841,Highland,NHS Highland
1983,S12000017,Male,all_ages,95809,Highland,NHS Highland
1983,S12000018,All,all_ages,99750,Inverclyde,NHS Greater Glasgow and Clyde
1983,S12000018,All,all_ages,99750,Inverclyde,NHS Greater Glasgow and Clyde
1983,S12000018,Female,all_ages,51779,Inverclyde,NHS Greater Glasgow and Clyde
1983,S12000018,Female,all_ages,51779,Inverclyde,NHS Greater Glasgow and Clyde
1983,S12000018,Male,all_ages,47971,Inverclyde,NHS Greater Glasgow and Clyde
1983,S12000018,Male,all_ages,47971,Inverclyde,NHS Greater Glasgow and Clyde
1983,S12000019,All,all_ages,82210,Midlothian,NHS Lothian
1983,S12000019,Female,all_ages,42117,Midlothian,NHS Lothian
1983,S12000019,Male,all_ages,40093,Midlothian,NHS Lothian
1983,S12000020,All,all_ages,84570,Moray,NHS Grampian
1983,S12000020,Female,all_ages,42598,Moray,NHS Grampian
1983,S12000020,Male,all_ages,41972,Moray,NHS Grampian
1983,S12000021,All,all_ages,137680,North Ayrshire,NHS Ayrshire and Arran
1983,S12000021,Female,all_ages,71576,North Ayrshire,NHS Ayrshire and Arran
1983,S12000021,Male,all_ages,66104,North Ayrshire,NHS Ayrshire and Arran
1983,S12000023,All,all_ages,19190,Orkney Islands,NHS Orkney
1983,S12000023,Female,all_ages,9748,Orkney Islands,NHS Orkney
1983,S12000023,Male,all_ages,9442,Orkney Islands,NHS Orkney
1983,S12000026,All,all_ages,101050,Scottish Borders,NHS Borders
1983,S12000026,Female,all_ages,52820,Scottish Borders,NHS Borders
1983,S12000026,Male,all_ages,48230,Scottish Borders,NHS Borders
1983,S12000027,All,all_ages,22300,Shetland Islands,NHS Shetland
1983,S12000027,Female,all_ages,11552,Shetland Islands,NHS Shetland
1983,S12000027,Male,all_ages,10748,Shetland Islands,NHS Shetland
1983,S12000028,All,all_ages,112880,South Ayrshire,NHS Ayrshire and Arran
1983,S12000028,Female,all_ages,59349,South Ayrshire,NHS Ayrshire and Arran
1983,S12000028,Male,all_ages,53531,South Ayrshire,NHS Ayrshire and Arran
1983,S12000029,All,all_ages,307280,South Lanarkshire,NHS Lanarkshire
1983,S12000029,All,all_ages,307280,South Lanarkshire,NHS Lanarkshire
1983,S12000029,Female,all_ages,158810,South Lanarkshire,NHS Lanarkshire
1983,S12000029,Female,all_ages,158810,South Lanarkshire,NHS Lanarkshire
1983,S12000029,Male,all_ages,148470,South Lanarkshire,NHS Lanarkshire
1983,S12000029,Male,all_ages,148470,South Lanarkshire,NHS Lanarkshire
1983,S12000030,All,all_ages,81030,Stirling,NHS Forth Valley
1983,S12000030,Female,all_ages,41864,Stirling,NHS Forth Valley
1983,S12000030,Male,all_ages,39166,Stirling,NHS Forth Valley
1983,S12000033,All,all_ages,214400,Aberdeen City,NHS Grampian
1983,S12000033,Female,all_ages,111582,Aberdeen City,NHS Grampian
1983,S12000033,Male,all_ages,102818,Aberdeen City,NHS Grampian
1983,S12000034,All,all_ages,195210,Aberdeenshire,NHS Grampian
1983,S12000034,Female,all_ages,98559,Aberdeenshire,NHS Grampian
1983,S12000034,Male,all_ages,96651,Aberdeenshire,NHS Grampian
1983,S12000035,All,all_ages,91810,Argyll and Bute,NHS Highland
1983,S12000035,Female,all_ages,46723,Argyll and Bute,NHS Highland
1983,S12000035,Male,all_ages,45087,Argyll and Bute,NHS Highland
1983,S12000036,All,all_ages,441680,City of Edinburgh,NHS Lothian
1983,S12000036,Female,all_ages,234359,City of Edinburgh,NHS Lothian
1983,S12000036,Male,all_ages,207321,City of Edinburgh,NHS Lothian
1983,S12000038,All,all_ages,182000,Renfrewshire,NHS Greater Glasgow and Clyde
1983,S12000038,All,all_ages,182000,Renfrewshire,NHS Greater Glasgow and Clyde
1983,S12000038,Female,all_ages,94408,Renfrewshire,NHS Greater Glasgow and Clyde
1983,S12000038,Female,all_ages,94408,Renfrewshire,NHS Greater Glasgow and Clyde
1983,S12000038,Male,all_ages,87592,Renfrewshire,NHS Greater Glasgow and Clyde
1983,S12000038,Male,all_ages,87592,Renfrewshire,NHS Greater Glasgow and Clyde
1983,S12000039,All,all_ages,103490,West Dunbartonshire,NHS Greater Glasgow and Clyde
1983,S12000039,All,all_ages,103490,West Dunbartonshire,NHS Greater Glasgow and Clyde
1983,S12000039,Female,all_ages,54139,West Dunbartonshire,NHS Greater Glasgow and Clyde
1983,S12000039,Female,all_ages,54139,West Dunbartonshire,NHS Greater Glasgow and Clyde
1983,S12000039,Male,all_ages,49351,West Dunbartonshire,NHS Greater Glasgow and Clyde
1983,S12000039,Male,all_ages,49351,West Dunbartonshire,NHS Greater Glasgow and Clyde
1983,S12000040,All,all_ages,140020,West Lothian,NHS Lothian
1983,S12000040,Female,all_ages,71272,West Lothian,NHS Lothian
1983,S12000040,Male,all_ages,68748,West Lothian,NHS Lothian
1983,S12000041,All,all_ages,105680,Angus,NHS Tayside
1983,S12000041,All,all_ages,105680,Angus,NHS Tayside
1983,S12000041,Female,all_ages,54717,Angus,NHS Tayside
1983,S12000041,Female,all_ages,54717,Angus,NHS Tayside
1983,S12000041,Male,all_ages,50963,Angus,NHS Tayside
1983,S12000041,Male,all_ages,50963,Angus,NHS Tayside
1983,S12000042,All,all_ages,165440,Dundee City,NHS Tayside
1983,S12000042,All,all_ages,165440,Dundee City,NHS Tayside
1983,S12000042,Female,all_ages,87062,Dundee City,NHS Tayside
1983,S12000042,Female,all_ages,87062,Dundee City,NHS Tayside
1983,S12000042,Male,all_ages,78378,Dundee City,NHS Tayside
1983,S12000042,Male,all_ages,78378,Dundee City,NHS Tayside
1983,S12000045,All,all_ages,110700,East Dunbartonshire,NHS Greater Glasgow and Clyde
1983,S12000045,All,all_ages,110700,East Dunbartonshire,NHS Greater Glasgow and Clyde
1983,S12000045,Female,all_ages,56925,East Dunbartonshire,NHS Greater Glasgow and Clyde
1983,S12000045,Female,all_ages,56925,East Dunbartonshire,NHS Greater Glasgow and Clyde
1983,S12000045,Male,all_ages,53775,East Dunbartonshire,NHS Greater Glasgow and Clyde
1983,S12000045,Male,all_ages,53775,East Dunbartonshire,NHS Greater Glasgow and Clyde
1983,S12000047,All,all_ages,343800,Fife,NHS Fife
1983,S12000047,Female,all_ages,176795,Fife,NHS Fife
1983,S12000047,Male,all_ages,167005,Fife,NHS Fife
1983,S12000048,All,all_ages,122750,Perth and Kinross,NHS Tayside
1983,S12000048,Female,all_ages,64172,Perth and Kinross,NHS Tayside
1983,S12000048,Male,all_ages,58578,Perth and Kinross,NHS Tayside
1983,S12000049,All,all_ages,692290,Glasgow City,NHS Greater Glasgow and Clyde
1983,S12000049,Female,all_ages,363526,Glasgow City,NHS Greater Glasgow and Clyde
1983,S12000049,Male,all_ages,328764,Glasgow City,NHS Greater Glasgow and Clyde
1983,S12000050,All,all_ages,339620,North Lanarkshire,NHS Lanarkshire
1983,S12000050,Female,all_ages,174796,North Lanarkshire,NHS Lanarkshire
1983,S12000050,Male,all_ages,164824,North Lanarkshire,NHS Lanarkshire
1984,S92000003,All,all_ages,5138880,Scotland,Scotland
1984,S92000003,Female,all_ages,2664257,Scotland,Scotland
1984,S92000003,Male,all_ages,2474623,Scotland,Scotland
